Code_Without_Decimal,Title,OPCS_Version
F307,Suture of palate,4.1
F308,Other specified other repair of palate,4.1
F309,Unspecified other repair of palate,4.1
F32,Other operations on palate,4.1
F321,Biopsy of lesion of palate,4.1
F322,Removal of foreign body from palate,4.1
F323,Incision of palate,4.1
F324,Operations on uvula NEC,4.1
F325,Uvulopalatopharyngoplasty,4.1
F326,Uvulopalatoplasty,4.1
F327,Surgically assisted expansion of palate using orthodontic appliance,4.1
F328,Other specified other operations on palate,4.1
F329,Unspecified other operations on palate,4.1
F34,Excision of tonsil,4.1
F341,Bilateral dissection tonsillectomy,4.1
F342,Bilateral guillotine tonsillectomy,4.1
F343,Bilateral laser tonsillectomy,4.1
F344,Bilateral excision of tonsil NEC,4.1
F345,Excision of remnant of tonsil,4.1
F346,Excision of lingual tonsil,4.1
F347,Bilateral coblation tonsillectomy NEC,4.1
F348,Other specified excision of tonsil,4.1
F349,Unspecified excision of tonsil,4.1
F35,Intracapsular excision of tonsil,4.1
F351,Bilateral intracapsular tonsillectomy NEC,4.1
F352,Bilateral intracapsular coblation tonsillectomy,4.1
F358,Other specified intracapsular excision of tonsil,4.1
F359,Unspecified intracapsular excision of tonsil,4.1
F36,Other operations on tonsil,4.1
F361,Destruction of tonsil,4.1
F362,Biopsy of lesion of tonsil,4.1
F363,Drainage of abscess of peritonsillar region,4.1
F364,Removal of foreign body from tonsil,4.1
F365,Surgical arrest of postoperative bleeding from tonsillar bed,4.1
F366,Excision of lesion of tonsil,4.1
F368,Other specified other operations on tonsil,4.1
F369,Unspecified other operations on tonsil,4.1
F38,Extirpation of lesion of other part of mouth,4.1
F381,Excision of lesion of floor of mouth,4.1
F382,Excision of lesion of mouth NEC,4.1
F383,Destruction of lesion of floor of mouth,4.1
F384,Destruction of lesion of mouth NEC,4.1
F388,Other specified extirpation of lesion of other part of mouth,4.1
F389,Unspecified extirpation of lesion of other part of mouth,4.1
F39,Reconstruction of other part of mouth,4.1
F391,Reconstruction of mouth using flap NEC,4.1
F392,Reconstruction of mouth using graft NEC,4.1
F398,Other specified reconstruction of other part of mouth,4.1
F399,Unspecified reconstruction of other part of mouth,4.1
F40,Other repair of other part of mouth,4.1
F401,Revision of repair of mouth NEC,4.1
F402,Graft of skin to mouth NEC,4.1
F403,Graft of mucosa to mouth NEC,4.1
F404,Suture of mouth NEC,4.1
F405,Removal of suture from mouth NEC,4.1
F408,Other specified other repair of other part of mouth,4.1
F409,Unspecified other repair of other part of mouth,4.1
F42,Other operations on mouth,4.1
F421,Biopsy of lesion of mouth NEC,4.1
F422,Incision of mouth NEC,4.1
F423,Removal of excess mucosa from mouth NEC,4.1
F424,Photography of mouth,4.1
F425,Recording of jaw relationships,4.1
F428,Other specified other operations on mouth,4.1
F429,Unspecified other operations on mouth,4.1
F43,Other examinations of mouth,4.1
F431,Smear of buccal mucosa,4.1
F438,Other specified other examinations of mouth,4.1
F439,Unspecified other examinations of mouth,4.1
F44,Excision of salivary gland,4.1
F441,Total excision of parotid gland,4.1
F442,Partial excision of parotid gland,4.1
F443,Excision of parotid gland NEC,4.1
F444,Excision of submandibular gland,4.1
F445,Excision of sublingual gland,4.1
F448,Other specified excision of salivary gland,4.1
F449,Unspecified excision of salivary gland,4.1
F45,Extirpation of lesion of salivary gland,4.1
F451,Excision of lesion of parotid gland,4.1
F452,Excision of lesion of submandibular gland,4.1
F453,Excision of lesion of sublingual gland,4.1
F454,Excision of lesion of salivary gland NEC,4.1
F455,Destruction of lesion of salivary gland,4.1
F458,Other specified extirpation of lesion of salivary gland,4.1
F459,Unspecified extirpation of lesion of salivary gland,4.1
F46,Incision of salivary gland,4.1
F461,Incision of parotid gland,4.1
F462,Incision of submandibular gland,4.1
F463,Incision of sublingual gland,4.1
F468,Other specified incision of salivary gland,4.1
F469,Unspecified incision of salivary gland,4.1
F48,Other operations on salivary gland,4.1
F481,Biopsy of lesion of salivary gland,4.1
F482,Closure of fistula of salivary gland,4.1
F483,Repair of salivary gland NEC,4.1
F484,Sialography,4.1
F485,Injection of therapeutic substance into salivary gland,4.1
F488,Other specified other operations on salivary gland,4.1
F489,Unspecified other operations on salivary gland,4.1
F50,Transposition of salivary duct,4.1
F501,Transposition of parotid duct,4.1
F502,Transposition of submandibular duct,4.1
F508,Other specified transposition of salivary duct,4.1
F509,Unspecified transposition of salivary duct,4.1
F51,Open extraction of calculus from salivary duct,4.1
F511,Open extraction of calculus from parotid duct,4.1
F512,Open extraction of calculus from submandibular duct,4.1
F518,Other specified open extraction of calculus from salivary duct,4.1
F519,Unspecified open extraction of calculus from salivary duct,4.1
F52,Ligation of salivary duct,4.1
F521,Ligation of parotid duct,4.1
F522,Ligation of submandibular duct,4.1
F528,Other specified ligation of salivary duct,4.1
F529,Unspecified ligation of salivary duct,4.1
F53,Other open operations on salivary duct,4.1
F531,Open operations on parotid duct NEC,4.1
F532,Open operations on submandibular duct NEC,4.1
F538,Other specified other open operations on salivary duct,4.1
F539,Unspecified other open operations on salivary duct,4.1
F55,Dilation of salivary duct,4.1
F551,Dilation of parotid duct,4.1
F552,Dilation of submandibular duct,4.1
F558,Other specified dilation of salivary duct,4.1
F559,Unspecified dilation of salivary duct,4.1
F56,Manipulative removal of calculus from salivary duct,4.1
F561,Manipulative removal of calculus from parotid duct,4.1
F562,Manipulative removal of calculus from submandibular duct,4.1
F568,Other specified manipulative removal of calculus from salivary duct,4.1
F569,Unspecified manipulative removal of calculus from salivary duct,4.1
F58,Other operations on salivary duct,4.1
F581,Operations on parotid duct NEC,4.1
F582,Operations on submandibular duct NEC,4.1
F588,Other specified other operations on salivary duct,4.1
F589,Unspecified other operations on salivary duct,4.1
F63,Insertion of dental prosthesis,4.1
F631,Creation of impression for denture,4.1
F632,Fitting of denture,4.1
F633,Adjustment of denture,4.1
F634,Repair of denture,4.1
F635,Splinting of teeth,4.1
F638,Other specified insertion of dental prosthesis,4.1
F639,Unspecified insertion of dental prosthesis,4.1
F64,Insertion of oral prosthesis,4.1
F641,Creation of impression for obturator,4.1
F642,Fitting of obturator,4.1
F643,Adjustment of obturator,4.1
F644,Repair of obturator,4.1
F648,Other specified insertion of oral prosthesis,4.1
F649,Unspecified insertion of oral prosthesis,4.1
F65,Functional orthodontic operations,4.1
F651,Fitting of fixed functional orthodontic brace or appliance,4.1
F652,Fitting of movable functional orthodontic brace or appliance,4.1
F653,Adjustment of movable functional orthodontic brace or appliance,4.1
F654,Adjustment of fixed functional orthodontic brace or appliance,4.1
F655,Removal of fixed functional orthodontic brace or appliance,4.1
F658,Other specified functional orthodontic operations,4.1
F659,Unspecified functional orthodontic operations,4.1
F66,Post-orthodontic operations,4.1
F661,Fitting of movable orthodontic retainer,4.1
F662,Fitting of fixed orthodontic retainer,4.1
F663,Adjustment of movable orthodontic retainer,4.1
F664,Adjustment of fixed orthodontic retainer,4.1
F665,Removal of fixed orthodontic retainer,4.1
F668,Other specified post-orthodontic operations,4.1
F669,Unspecified post-orthodontic operations,4.1
F67,Insertion of intraoral appliance,4.1
F671,Creation of impression for intraoral appliance,4.1
F672,Fitting of intraoral appliance,4.1
F673,Adjustment of intraoral appliance,4.1
F678,Other specified insertion of intraoral appliance,4.1
F679,Unspecified insertion of intraoral appliance,4.1
G01,Excision of oesophagus and stomach,4.1
G011,Oesophagogastrectomy and anastomosis of oesophagus to stomach,4.1
G012,Oesophagogastrectomy and anastomosis of oesophagus to transposed jejunum,4.1
G013,Oesophagogastrectomy and anastomosis of oesophagus to jejunum NEC,4.1
G018,Other specified excision of oesophagus and stomach,4.1
G019,Unspecified excision of oesophagus and stomach,4.1
G02,Total excision of oesophagus,4.1
G021,Total oesophagectomy and anastomosis of pharynx to stomach,4.1
G022,Total oesophagectomy and interposition of microvascularly attached jejunum,4.1
G023,Total oesophagectomy and interposition of jejunum NEC,4.1
G024,Total oesophagectomy and interposition of microvascularly attached colon,4.1
G025,Total oesophagectomy and interposition of colon NEC,4.1
G028,Other specified total excision of oesophagus,4.1
G029,Unspecified total excision of oesophagus,4.1
G03,Partial excision of oesophagus,4.1
G031,Partial oesophagectomy and end to end anastomosis of oesophagus,4.1
G032,Partial oesophagectomy and interposition of microvascularly attached jejunum,4.1
G033,Partial oesophagectomy and anastomosis of oesophagus to transposed jejunum,4.1
G034,Partial oesophagectomy and anastomosis of oesophagus to jejunum NEC,4.1
G035,Partial oesophagectomy and interposition of microvascularly attached colon,4.1
G036,Partial oesophagectomy and interposition of colon NEC,4.1
G038,Other specified partial excision of oesophagus,4.1
G039,Unspecified partial excision of oesophagus,4.1
G04,Open extirpation of lesion of oesophagus,4.1
G041,Excision of lesion of oesophagus,4.1
G042,Open laser destruction of lesion of oesophagus,4.1
G043,Open destruction of lesion of oesophagus NEC,4.1
G048,Other specified open extirpation of lesion of oesophagus,4.1
G049,Unspecified open extirpation of lesion of oesophagus,4.1
G05,Bypass of oesophagus,4.1
G051,Bypass of oesophagus by anastomosis of oesophagus to oesophagus,4.1
G052,Bypass of oesophagus by anastomosis of oesophagus to stomach,4.1
G053,Bypass of oesophagus by interposition of microvascularly attached jejunum,4.1
G054,Bypass of oesophagus by interposition of jejunum NEC,4.1
G055,Bypass of oesophagus by interposition of microvascularly attached colon,4.1
G056,Bypass of oesophagus by interposition of colon NEC,4.1
G058,Other specified bypass of oesophagus,4.1
G059,Unspecified bypass of oesophagus,4.1
G06,Attention to connection of oesophagus,4.1
G060,Conversion from previous direct anastomosis of oesophagus,4.1
G061,Revision of interposition anastomosis of oesophagus,4.1
G062,Revision of anastomosis of oesophagus NEC,4.1
G063,Removal of bypass of oesophagus,4.1
G064,Closure of bypass of oesophagus NEC,4.1
G068,Other specified attention to connection of oesophagus,4.1
G069,Unspecified attention to connection of oesophagus,4.1
G07,Repair of oesophagus,4.1
G071,Closure of tracheo-oesophageal fistula,4.1
G072,Closure of fistula of oesophagus NEC,4.1
G073,Correction of congenital atresia of oesophagus,4.1
G074,Repair of rupture of oesophagus,4.1
G078,Other specified repair of oesophagus,4.1
G079,Unspecified repair of oesophagus,4.1
G08,Artificial opening into oesophagus,4.1
G081,Exteriorisation of pouch of oesophagus,4.1
G082,External fistulisation of oesophagus NEC,4.1
G083,Tube oesophagostomy,4.1
G088,Other specified artificial opening into oesophagus,4.1
G089,Unspecified artificial opening into oesophagus,4.1
G09,Incision of oesophagus,4.1
G091,Cardiomyotomy,4.1
G092,Oesophagomyotomy NEC,4.1
G093,Division of web of oesophagus,4.1
G094,Drainage of oesophagus,4.1
G098,Other specified incision of oesophagus,4.1
G099,Unspecified incision of oesophagus,4.1
G10,Open operations on varices of oesophagus,4.1
G101,Disconnection of azygos vein,4.1
G102,Transection of oesophagus using staple gun,4.1
G103,Transection of oesophagus NEC,4.1
G104,Local ligation of varices of oesophagus,4.1
G105,Open injection sclerotherapy to varices of oesophagus,4.1
G108,Other specified open operations on varices of oesophagus,4.1
G109,Unspecified open operations on varices of oesophagus,4.1
G11,Open placement of prosthesis in oesophagus,4.1
G111,Insertion of tubal prosthesis into oesophagus through stomach,4.1
G112,Open insertion of tubal prosthesis into oesophagus NEC,4.1
G113,Open revision of tubal prosthesis in oesophagus,4.1
G114,Open removal of tubal prosthesis from oesophagus,4.1
G118,Other specified open placement of prosthesis in oesophagus,4.1
G119,Unspecified open placement of prosthesis in oesophagus,4.1
G12,Other fibreoptic endoscopic extirpation of lesion of oesophagus,4.1
G121,Fibreoptic endoscopic mucosal resection of lesion of oesophagus,4.1
G128,Other specified other fibreoptic endoscopic extirpation of lesion of oesophagus,4.1
G129,Unspecified other fibreoptic endoscopic extirpation of lesion of oesophagus,4.1
G13,Other open operations on oesophagus,4.1
G131,Open biopsy of lesion of oesophagus,4.1
G132,Open removal of foreign body from oesophagus,4.1
G138,Other specified other open operations on oesophagus,4.1
G139,Unspecified other open operations on oesophagus,4.1
G14,Fibreoptic endoscopic extirpation of lesion of oesophagus,4.1
G141,Fibreoptic endoscopic snare resection of lesion of oesophagus,4.1
G142,Fibreoptic endoscopic laser destruction of lesion of oesophagus,4.1
G143,Fibreoptic endoscopic cauterisation of lesion of oesophagus,4.1
G144,Fibreoptic endoscopic injection sclerotherapy to varices of oesophagus,4.1
G145,Fibreoptic endoscopic destruction of lesion of oesophagus NEC,4.1
G146,Fibreoptic endoscopic submucosal resection of lesion of oesophagus,4.1
G147,Fibreoptic endoscopic photodynamic therapy of lesion of oesophagus,4.1
G148,Other specified fibreoptic endoscopic extirpation of lesion of oesophagus,4.1
G149,Unspecified fibreoptic endoscopic extirpation of lesion of oesophagus,4.1
G15,Other therapeutic fibreoptic endoscopic operations on oesophagus,4.1
G151,Fibreoptic endoscopic removal of foreign body from oesophagus,4.1
G152,Fibreoptic endoscopic balloon dilation of oesophagus,4.1
G153,Fibreoptic endoscopic dilation of oesophagus NEC,4.1
G154,Fibreoptic endoscopic insertion of tubal prosthesis into oesophagus,4.1
G155,Fibreoptic endoscopic dilation of web of oesophagus,4.1
G156,Fibreoptic endoscopic insertion of expanding metal stent into oesophagus NEC,4.1
G157,Fibreoptic endoscopic insertion of expanding covered metal stent into oesophagus,4.1
G158,Other specified other therapeutic fibreoptic endoscopic operations on oesophagus,4.1
G159,Unspecified other therapeutic fibreoptic endoscopic operations on oesophagus,4.1
G16,Diagnostic fibreoptic endoscopic examination of oesophagus,4.1
G161,Diagnostic fibreoptic endoscopic examination of oesophagus and biopsy of lesion of oesophagus,4.1
G162,Diagnostic fibreoptic endoscopic ultrasound examination of oesophagus,4.1
G163,Diagnostic fibreoptic insertion of Bravo pH capsule into oesophagus,4.1
G168,Other specified diagnostic fibreoptic endoscopic examination of oesophagus,4.1
G169,Unspecified diagnostic fibreoptic endoscopic examination of oesophagus,4.1
G17,Endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope,4.1
G171,Endoscopic snare resection of lesion of oesophagus using rigid oesophagoscope,4.1
G172,Endoscopic laser destruction of lesion of oesophagus using rigid oesophagoscope,4.1
G173,Endoscopic cauterisation of lesion of oesophagus using rigid oesophagoscope,4.1
G174,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope,4.1
G178,Other specified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope,4.1
G179,Unspecified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope,4.1
G18,Other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,4.1
G181,Endoscopic removal of foreign body from oesophagus using rigid oesophagoscope,4.1
G182,Endoscopic balloon dilation of oesophagus using rigid oesophagoscope,4.1
G183,Endoscopic dilation of oesophagus using rigid oesophagoscope NEC,4.1
G184,Endoscopic insertion of tubal prosthesis into oesophagus using rigid oesophagoscope,4.1
G185,Dilation of web of oesophagus using rigid oesophagoscope,4.1
G188,Other specified other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,4.1
G189,Unspecified other therapeutic endoscopic operations on oesophagus using rigid oesophagoscope,4.1
G19,Diagnostic endoscopic examination of oesophagus using rigid oesophagoscope,4.1
G191,Diagnostic endoscopic examination of oesophagus and biopsy of lesion of oesophagus using rigid oesophagoscope,4.1
G192,Diagnostic endoscopic insertion of Bravo pH capsule using rigid oesophagoscope,4.1
G198,Other specified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope,4.1
G199,Unspecified diagnostic endoscopic examination of oesophagus using rigid oesophagoscope,4.1
G20,Therapeutic fibreoptic endoscopic operations on oesophagus,4.1
G201,Fibreoptic endoscopic coagulation of bleeding lesion of oesophagus NEC,4.1
G202,Fibreoptic endoscopic coagulation of bleeding lesion of oesophagus using haemostatic spray,4.1
G208,Other specified therapeutic fibreoptic endoscopic operations on oesophagus,4.1
G209,Unspecified therapeutic fibreoptic endoscopic operations on oesophagus,4.1
G21,Other operations on oesophagus,4.1
G211,Intubation of oesophagus for pH manometry,4.1
G212,Intubation of oesophagus for pressure manometry,4.1
G213,Intubation of oesophagus and instillation of acid or alkali HFQ,4.1
G214,Intubation of oesophagus NEC,4.1
G215,Insertion of stent into oesophagus NEC,4.1
G216,Cytology of oesophagus using ingestible sponge,4.1
G218,Other specified other operations on oesophagus,4.1
G219,Unspecified other operations on oesophagus,4.1
G23,Repair of diaphragmatic hernia,4.1
G231,Repair of oesophageal hiatus using thoracic approach,4.1
G232,Repair of diaphragmatic hernia using thoracic approach NEC,4.1
G233,Repair of oesophageal hiatus using abdominal approach,4.1
G234,Repair of diaphragmatic hernia using abdominal approach NEC,4.1
G238,Other specified repair of diaphragmatic hernia,4.1
G239,Unspecified repair of diaphragmatic hernia,4.1
G24,Antireflux operations,4.1
G241,Antireflux fundoplication using thoracic approach,4.1
G242,Antireflux operation using thoracic approach NEC,4.1
G243,Antireflux fundoplication using abdominal approach,4.1
G244,Antireflux gastropexy,4.1
G245,Gastroplasty and antireflux procedure HFQ,4.1
G246,Insertion of Angelchick prosthesis,4.1
G248,Other specified antireflux operations,4.1
G249,Unspecified antireflux operations,4.1
G25,Revision of antireflux operations,4.1
G251,Revision of fundoplication of stomach,4.1
G252,Adjustment to Angelchick prosthesis,4.1
G253,Removal of Angelchick prosthesis,4.1
G258,Other specified revision of antireflux operations,4.1
G259,Unspecified revision of antireflux operations,4.1
G26,Transplantation of stomach,4.1
G261,Allotransplantation of stomach,4.1
G268,Other specified transplantation of stomach,4.1
G269,Unspecified transplantation of stomach,4.1
G27,Total excision of stomach,4.1
G271,Total gastrectomy and excision of surrounding tissue,4.1
G272,Total gastrectomy and anastomosis of oesophagus to duodenum,4.1
G273,Total gastrectomy and interposition of jejunum,4.1
G274,Total gastrectomy and anastomosis of oesophagus to transposed jejunum,4.1
G275,Total gastrectomy and anastomosis of oesophagus to jejunum NEC,4.1
G278,Other specified total excision of stomach,4.1
G279,Unspecified total excision of stomach,4.1
G28,Partial excision of stomach,4.1
G281,Partial gastrectomy and anastomosis of stomach to duodenum,4.1
G282,Partial gastrectomy and anastomosis of stomach to transposed jejunum,4.1
G283,Partial gastrectomy and anastomosis of stomach to jejunum NEC,4.1
G284,Sleeve gastrectomy and duodenal switch,4.1
G285,Sleeve gastrectomy NEC,4.1
G288,Other specified partial excision of stomach,4.1
G289,Unspecified partial excision of stomach,4.1
G29,Open extirpation of lesion of stomach,4.1
G291,Open excision of polyp of stomach,4.1
G292,Open excision of lesion of stomach NEC,4.1
G293,Open laser destruction of lesion of stomach,4.1
G294,Diathermy to lesion of stomach,4.1
G295,Cryotherapy to lesion of stomach,4.1
G298,Other specified open extirpation of lesion of stomach,4.1
G299,Unspecified open extirpation of lesion of stomach,4.1
G30,Plastic operations on stomach,4.1
G301,Gastroplasty NEC,4.1
G302,Partitioning of stomach NEC,4.1
G303,Partitioning of stomach using band,4.1
G304,Partitioning of stomach using staples,4.1
G305,Maintenance of gastric band,4.1
G308,Other specified plastic operations on stomach,4.1
G309,Unspecified plastic operations on stomach,4.1
G31,Connection of stomach to duodenum,4.1
G310,Conversion from previous anastomosis of stomach to duodenum,4.1
G311,Bypass of stomach by anastomosis of oesophagus to duodenum,4.1
G312,Bypass of stomach by anastomosis of stomach to duodenum,4.1
G313,Revision of anastomosis of stomach to duodenum,4.1
G314,Conversion to anastomosis of stomach to duodenum,4.1
G315,Closure of connection of stomach to duodenum,4.1
G316,Attention to connection of stomach to duodenum,4.1
G318,Other specified connection of stomach to duodenum,4.1
G319,Unspecified connection of stomach to duodenum,4.1
G32,Connection of stomach to transposed jejunum,4.1
G320,Conversion from previous anastomosis of stomach to transposed jejunum,4.1
G321,Bypass of stomach by anastomosis of stomach to transposed jejunum,4.1
G322,Revision of anastomosis of stomach to transposed jejunum,4.1
G323,Conversion to anastomosis of stomach to transposed jejunum,4.1
G324,Closure of connection of stomach to transposed jejunum,4.1
G325,Attention to connection of stomach to transposed jejunum,4.1
G328,Other specified connection of stomach to transposed jejunum,4.1
G329,Unspecified connection of stomach to transposed jejunum,4.1
G33,Other connection of stomach to jejunum,4.1
G330,Conversion from previous anastomosis of stomach to jejunum NEC,4.1
G331,Bypass of stomach by anastomosis of stomach to jejunum NEC,4.1
G332,Revision of anastomosis of stomach to jejunum NEC,4.1
G333,Conversion to anastomosis of stomach to jejunum NEC,4.1
G334,Open reduction of intussusception of gastroenterostomy,4.1
G335,Closure of connection of stomach to jejunum NEC,4.1
G336,Attention to connection of stomach to jejunum,4.1
G338,Other specified other connection of stomach to jejunum,4.1
G339,Unspecified other connection of stomach to jejunum,4.1
G34,Artificial opening into stomach,4.1
G341,Creation of permanent gastrostomy,4.1
G342,Creation of temporary gastrostomy,4.1
G343,Reconstruction of gastrostomy,4.1
G344,Closure of gastrostomy,4.1
G345,Attention to gastrostomy tube,4.1
G348,Other specified artificial opening into stomach,4.1
G349,Unspecified artificial opening into stomach,4.1
G35,Operations on ulcer of stomach,4.1
G351,Closure of perforated ulcer of stomach,4.1
G352,Closure of ulcer of stomach NEC,4.1
G358,Other specified operations on ulcer of stomach,4.1
G359,Unspecified operations on ulcer of stomach,4.1
G36,Other repair of stomach,4.1
G361,Gastropexy NEC,4.1
G362,Closure of perforation of stomach NEC,4.1
G363,Closure of abnormal opening of stomach NEC,4.1
G368,Other specified other repair of stomach,4.1
G369,Unspecified other repair of stomach,4.1
G38,Other open operations on stomach,4.1
G381,Open biopsy of lesion of stomach,4.1
G382,Open insertion of prosthesis into stomach,4.1
G383,Open insertion of feeding tube into stomach,4.1
G384,Open removal of foreign body from stomach,4.1
G385,Incision of stomach NEC,4.1
G386,Reduction of volvulus of stomach,4.1
G387,Removal of gastric band,4.1
G388,Other specified other open operations on stomach,4.1
G389,Unspecified other open operations on stomach,4.1
G40,Incision of pylorus,4.1
G401,Pyloromyotomy,4.1
G402,Repair of congenital atresia of pylorus,4.1
G403,Pyloroplasty NEC,4.1
G404,Revision of pyloroplasty,4.1
G405,Closure of pyloroplasty,4.1
G406,Open dilation of pylorus,4.1
G408,Other specified incision of pylorus,4.1
G409,Unspecified incision of pylorus,4.1
G41,Other operations on pylorus,4.1
G411,Open biopsy of lesion of pylorus,4.1
G412,Repair of perforation of pylorus,4.1
G418,Other specified other operations on pylorus,4.1
G419,Unspecified other operations on pylorus,4.1
G42,Other fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,4.1
G421,Fibreoptic endoscopic submucosal resection of lesion of upper gastrointestinal tract,4.1
G422,Fibreoptic endoscopic photodynamic therapy of lesion of upper gastrointestinal tract,4.1
G423,Fibreoptic endoscopic mucosal resection of lesion of upper gastrointestinal tract,4.1
G428,Other specified other fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,4.1
G429,Unspecified other fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,4.1
G43,Fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,4.1
G431,Fibreoptic endoscopic snare resection of lesion of upper gastrointestinal tract,4.1
G432,Fibreoptic endoscopic laser destruction of lesion of upper gastrointestinal tract,4.1
G433,Fibreoptic endoscopic cauterisation of lesion of upper gastrointestinal tract,4.1
G434,Fibreoptic endoscopic sclerotherapy to lesion of upper gastrointestinal tract,4.1
G435,Fibreoptic endoscopic destruction of lesion of upper gastrointestinal tract NEC,4.1
G436,Fibreoptic endoscopic injection therapy to lesion of upper gastrointestinal tract NEC,4.1
G437,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices,4.1
G438,Other specified fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,4.1
G439,Unspecified fibreoptic endoscopic extirpation of lesion of upper gastrointestinal tract,4.1
G44,Other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,4.1
G441,Fibreoptic endoscopic insertion of prosthesis into upper gastrointestinal tract,4.1
G442,Fibreoptic endoscopic removal of foreign body from upper gastrointestinal tract,4.1
G443,Fibreoptic endoscopic dilation of upper gastrointestinal tract NEC,4.1
G444,Fibreoptic endoscopic reduction of intussusception of gastroenterostomy,4.1
G445,Fibreoptic endoscopic percutaneous insertion of gastrostomy,4.1
G446,Fibreoptic endoscopic pressure controlled balloon dilation of lower oesophageal sphincter,4.1
G447,Fibreoptic endoscopic removal of gastrostomy tube,4.1
G448,Other specified other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,4.1
G449,Unspecified other therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,4.1
G45,Diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,4.1
G451,Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,4.1
G452,Fibreoptic endoscopic ultrasound examination of upper gastrointestinal tract,4.1
G453,Fibreoptic endoscopic insertion of Bravo pH capsule into upper gastrointestinal tract,4.1
G454,Fibreoptic endoscopic examination of upper gastrointestinal tract and staining of gastric mucosa,4.1
G458,Other specified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,4.1
G459,Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,4.1
G46,Therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,4.1
G461,Fibreoptic endoscopic endoluminal plication of gastro-oesophageal junction,4.1
G462,Fibreoptic endoscopic coagulation of bleeding lesion of upper gastrointestinal tract NEC,4.1
G463,Fibreoptic endoscopic coagulation of bleeding lesion of upper gastrointestinal tract using haemostatic spray,4.1
G468,Other specified therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,4.1
G469,Unspecified therapeutic fibreoptic endoscopic operations on upper gastrointestinal tract,4.1
G47,Intubation of stomach,4.1
G471,Intubation of stomach for pH manometry,4.1
G472,Intubation of stomach for pressure manometry,4.1
G473,Irrigation of stomach,4.1
G474,Intubation of stomach for study of gastric secretion,4.1
G475,Insertion of nasogastric tube,4.1
G478,Other specified intubation of stomach,4.1
G479,Unspecified intubation of stomach,4.1
G48,Other operations on stomach,4.1
G481,Insertion of gastric bubble,4.1
G482,Attention to gastric bubble,4.1
G483,Induction of emesis,4.1
G484,Administration of activated charcoal,4.1
G485,Insertion of gastric balloon,4.1
G486,Attention to gastric balloon,4.1
G488,Other specified other operations on stomach,4.1
G489,Unspecified other operations on stomach,4.1
G49,Excision of duodenum,4.1
G491,Gastroduodenectomy,4.1
G492,Total excision of duodenum,4.1
G493,Partial excision of duodenum,4.1
G498,Other specified excision of duodenum,4.1
G499,Unspecified excision of duodenum,4.1
G50,Open extirpation of lesion of duodenum,4.1
G501,Excision of lesion of duodenum,4.1
G502,Open destruction of lesion of duodenum,4.1
G508,Other specified open extirpation of lesion of duodenum,4.1
G509,Unspecified open extirpation of lesion of duodenum,4.1
G51,Bypass of duodenum,4.1
G511,Bypass of duodenum by anastomosis of stomach to jejunum,4.1
G512,Bypass of duodenum by anastomosis of duodenum to duodenum,4.1
G513,Bypass of duodenum by anastomosis of duodenum to jejunum,4.1
G514,Bypass of duodenum by anastomosis of duodenum to colon,4.1
G518,Other specified bypass of duodenum,4.1
G519,Unspecified bypass of duodenum,4.1
G52,Operations on ulcer of duodenum,4.1
G521,Closure of perforated ulcer of duodenum,4.1
G522,Suture of ulcer of duodenum NEC,4.1
G523,Oversew of blood vessel of duodenal ulcer,4.1
G528,Other specified operations on ulcer of duodenum,4.1
G529,Unspecified operations on ulcer of duodenum,4.1
G53,Other open operations on duodenum,4.1
G531,Open biopsy of lesion of duodenum,4.1
G532,Closure of perforation of duodenum NEC,4.1
G533,Open removal of foreign body from duodenum,4.1
G534,Open insertion of tubal prosthesis into duodenum,4.1
G535,Incision of duodenum NEC,4.1
G536,Correction of malrotation of duodenum,4.1
G538,Other specified other open operations on duodenum,4.1
G539,Unspecified other open operations on duodenum,4.1
G54,Therapeutic endoscopic operations on duodenum,4.1
G541,Endoscopic extirpation of lesion of duodenum,4.1
G542,Endoscopic dilation of duodenum,4.1
G543,Endoscopic insertion of tubal prosthesis into duodenum,4.1
G548,Other specified therapeutic endoscopic operations on duodenum,4.1
